# NR     X       Y     V    eV    I    eI    Ha   eHa   LgT eLgT   LgL eLgL  LgHa   EW   Mass Age LgMdot
 367 2199.48 1124.56 19.38 0.02 19.59 0.02 17.74 0.19  4.24 0.17  2.20 0.18 -0.89  -62.1 3.4  9.6 -6.94
 368 2204.29 1639.08 18.87 0.05 18.87 0.08 17.90 0.14  3.98 0.08  1.84 0.10 -1.07  -23.0 2.6  2.5 -6.68
 369 2212.25 3854.50 24.82 0.06 23.88 0.03 21.39 0.17  3.72 0.03 -0.51 0.07 -2.29 -171.6 0.8 49.1 -8.01
 370 2218.51 2576.54 23.76 0.03 22.22 0.02 21.73 0.12  3.62 0.01  0.18 0.06 -2.67  -16.6 0.6  0.8 -7.74
 371 2226.07 2299.69 23.71 0.04 22.83 0.02 22.04 0.20  3.73 0.03 -0.08 0.07 -2.75  -21.1 0.9 21.0 -8.38
 372 2236.50 4357.11 21.60 0.04 21.11 0.03 20.03 0.21  3.84 0.03  0.71 0.07 -1.90  -27.7 1.4 22.3 -7.51
 373 2236.69 2666.99 22.04 0.02 21.55 0.02 20.86 0.08  3.84 0.03  0.53 0.07 -2.35  -14.2 1.3 30.0 -8.03
 374 2252.71 2799.30 23.14 0.02 22.14 0.02 21.47 0.18  3.71 0.02  0.19 0.06 -2.54  -18.5 1.2  6.3 -8.10
 375 2258.41 1508.34 19.61 0.02 19.32 0.02 18.75 0.13  3.89 0.03  1.49 0.07 -1.55  -11.5 2.2  3.5 -7.07
 376 2278.18 1613.46 18.85 0.01 18.54 0.02 17.97 0.08  3.88 0.03  1.79 0.07 -1.24  -11.5 2.7  1.8 -6.70
 377 2283.43 2081.72 22.38 0.06 21.59 0.04 18.87 0.20  3.76 0.03  0.43 0.07 -1.27 -205.4 1.3  9.2 -6.83
 378 2289.50 3627.32 22.20 0.04 21.58 0.03 19.31 0.21  3.80 0.03  0.48 0.07 -1.47 -123.2 1.2 25.2 -7.08
 379 2289.56 2641.33 22.06 0.03 21.04 0.02 19.96 0.17  3.70 0.02  0.63 0.06 -1.84  -35.2 1.6  1.2 -7.27
 380 2290.53  910.65 23.60 0.05 23.01 0.02 20.64 0.20  3.81 0.03 -0.08 0.07 -1.99 -136.3 1.0 37.7 -7.79
 381 2291.94 1261.09 20.44 0.03 19.86 0.02 18.17 0.17  3.82 0.03  1.18 0.07 -1.06  -64.3 1.9  3.8 -6.54
 382 2296.93 4291.56 22.26 0.04 21.72 0.03 20.17 0.19  3.83 0.03  0.45 0.07 -1.87  -53.5 1.2 30.9 -7.55
 383 2300.10 2917.88 23.53 0.02 22.03 0.02 20.80 0.12  3.62 0.01  0.25 0.06 -2.13  -49.2 0.6  0.7 -7.18
 384 2307.56 2122.04 20.61 0.02 20.31 0.02 18.76 0.17  3.89 0.03  1.09 0.07 -1.31  -54.3 1.7  7.2 -6.91
 385 2314.59 1514.54 19.89 0.04 19.94 0.03 17.35 0.18  4.02 0.10  1.50 0.11 -0.67 -153.6 2.1 15.4 -6.44
 386 2316.14 3170.09 24.07 0.06 22.75 0.02 20.96 0.20  3.65 0.02 -0.04 0.06 -2.15  -91.4 1.0  3.1 -7.60
 387 2328.77 2091.94 21.58 0.04 20.51 0.02 18.57 0.06  3.69 0.02  0.84 0.06 -1.18 -100.3 1.6  0.6 -6.49
 388 2338.98 2724.23 24.25 0.05 22.65 0.03 21.71 0.15  3.61 0.02  0.01 0.06 -2.53  -35.1 0.6  1.2 -7.68
 389 2340.38 4380.47 21.73 0.06 20.83 0.03 18.88 0.20  3.73 0.03  0.72 0.07 -1.31  -96.1 1.8  1.3 -6.81
 390 2341.31 3068.40 21.93 0.03 21.03 0.02 19.76 0.18  3.73 0.03  0.64 0.07 -1.73  -43.0 1.7  2.4 -7.25
 391 2342.08 3754.70 22.37 0.05 21.26 0.02 19.52 0.13  3.68 0.02  0.54 0.06 -1.58  -81.8 1.3  1.1 -6.95
 392 2342.95 3128.95 22.07 0.02 21.25 0.02 19.55 0.21  3.75 0.03  0.56 0.07 -1.60  -69.8 1.5  5.6 -7.15
 393 2344.03  854.76 18.96 0.02 19.26 0.02 17.84 0.16  4.38 0.18  2.70 0.19 -0.99  -33.8 4.5  6.6 -7.21
 394 2344.62 1166.85 22.30 0.04 21.80 0.03 20.21 0.20  3.84 0.03  0.43 0.07 -1.89  -55.0 1.2 31.7 -7.59
 395 2345.78 2477.77 22.16 0.02 21.02 0.02 20.16 0.04  3.68 0.02  0.64 0.06 -1.95  -26.9 1.2  0.8 -7.23
 396 2346.91 1982.34 23.24 0.06 21.74 0.03 19.70 0.17  3.62 0.02  0.37 0.06 -1.63 -123.5 0.6  0.5 -6.60
 397 2347.85 1164.68 20.14 0.02 19.75 0.02 19.13 0.16  3.86 0.03  1.28 0.07 -1.69  -12.3 2.0  4.0 -7.23
 398 2352.03 1616.57 20.50 0.02 20.33 0.02 18.96 0.19  3.92 0.03  1.13 0.07 -1.42  -39.7 1.7  7.4 -7.08
 399 2360.52 4411.53 20.27 0.03 19.60 0.02 18.96 0.09  3.79 0.03  1.26 0.07 -1.59  -14.1 2.2  2.4 -7.04
 400 2366.22 2471.12 24.07 0.02 23.13 0.03 22.52 0.19  3.72 0.02 -0.20 0.06 -2.99  -16.0 0.9 22.9 -8.63
 401 2366.42 2797.64 23.73 0.04 22.54 0.02 20.77 0.11  3.67 0.02  0.03 0.06 -2.07  -86.0 1.1  3.6 -7.58
 402 2369.74  410.30 23.94 0.03 22.90 0.03 21.89 0.17  3.70 0.02 -0.12 0.06 -2.62  -32.5 1.0 12.7 -8.22
 403 2384.72  702.42 18.90 0.02 19.01 0.02 18.31 0.12  4.09 0.14  2.04 0.16 -1.38  -11.2 3.0  9.9 -7.16
 404 2385.52 3678.43 21.74 0.05 21.05 0.03 19.12 0.17  3.78 0.03  0.67 0.07 -1.41  -86.9 1.4  7.3 -6.95
 405 2391.05 3226.08 24.35 0.03 23.29 0.03 22.05 0.17  3.69 0.02 -0.27 0.06 -2.65  -44.2 0.9 19.0 -8.28
 406 2405.28 2920.34 24.33 0.07 22.97 0.02 20.59 0.14  3.64 0.02 -0.13 0.06 -1.97 -172.1 0.9  3.7 -7.43
 407 2411.23 3494.51 21.55 0.06 21.10 0.02 18.37 0.20  3.85 0.03  0.72 0.07 -1.08 -190.0 1.4 23.0 -6.71
 408 2417.43 2453.89 22.86 0.04 21.80 0.03 21.14 0.15  3.69 0.02  0.33 0.06 -2.41  -18.7 1.3  2.5 -7.91
 409 2420.55 3048.45 25.34 0.06 23.79 0.03 21.38 0.12  3.62 0.02 -0.45 0.06 -2.28 -183.6 0.8  6.7 -7.77
 410 2430.03  546.70 23.09 0.04 22.18 0.03 20.84 0.19  3.73 0.03  0.18 0.07 -2.15  -47.5 1.1 10.7 -7.73
 411 2432.80 1707.34 24.35 0.05 23.25 0.03 20.90 0.19  3.68 0.02 -0.25 0.06 -2.09 -155.1 0.9 14.2 -7.72
 412 2434.53  497.15 23.33 0.03 22.54 0.03 21.74 0.17  3.75 0.03  0.05 0.07 -2.64  -20.0 1.0 22.7 -8.26
 413 2439.49 2957.90 22.87 0.03 21.68 0.02 20.47 0.09  3.67 0.02  0.38 0.06 -2.01  -44.4 1.1  1.3 -7.36
 414 2440.57 3625.40 20.40 0.02 20.24 0.02 19.29 0.14  3.92 0.03  1.17 0.07 -1.64  -21.2 1.8  6.9 -7.30
 415 2442.58 2780.27 22.94 0.02 21.70 0.02 21.01 0.20  3.66 0.02  0.37 0.06 -2.33  -21.4 1.0  1.1 -7.61
 416 2444.15 2055.20 23.41 0.03 22.33 0.02 21.67 0.21  3.69 0.02  0.11 0.06 -2.62  -18.8 1.2  3.6 -8.16
 417 2444.70 1471.44 19.24 0.02 19.28 0.02 18.40 0.20  4.01 0.08  1.74 0.10 -1.32  -18.0 2.4 12.6 -7.00
 418 2446.40 4291.44 18.30 0.02 17.90 0.02 17.18 0.12  3.86 0.03  2.02 0.07 -0.86  -15.1 3.4  0.9 -6.26
 419 2448.20  620.26 21.28 0.02 20.41 0.03 19.68 0.12  3.74 0.03  0.89 0.07 -1.82  -18.7 2.0  1.6 -7.30
 420 2452.47 2636.97 22.87 0.02 21.68 0.02 21.20 0.13  3.67 0.02  0.38 0.06 -2.49  -14.0 1.1  1.2 -7.83
 421 2457.76 3615.38 22.03 0.04 21.55 0.02 19.74 0.21  3.84 0.03  0.53 0.07 -1.67  -72.1 1.3 30.0 -7.35
 422 2457.77 2613.12 23.12 0.02 22.27 0.02 21.49 0.16  3.74 0.03  0.15 0.07 -2.53  -20.4 1.1 13.1 -8.13
 423 2467.59 1211.37 21.32 0.03 20.93 0.03 19.67 0.21  3.86 0.03  0.81 0.07 -1.72  -36.4 1.5 24.6 -7.36
 424 2469.76 3016.70 23.29 0.04 22.39 0.02 21.23 0.19  3.73 0.03  0.10 0.07 -2.34  -37.4 1.1 12.0 -7.93
 425 2473.92 1349.98 18.68 0.03 16.67 0.02 16.37 0.12  3.55 0.01  2.46 0.06 -0.56  -13.8 0.0  0.0  9.99
 426 2474.16  282.03 23.44 0.04 22.56 0.03 21.37 0.21  3.73 0.03  0.03 0.07 -2.39  -38.3 1.0 17.1 -8.00
 427 2476.58  303.76 23.74 0.03 22.61 0.03 21.45 0.13  3.68 0.02  0.00 0.06 -2.41  -40.7 1.1  4.4 -7.97
 428 2477.67 3573.58 18.58 0.02 18.85 0.01 17.61 0.14  4.34 0.17  2.76 0.18 -0.94  -26.4 4.6  6.1 -7.06
 429 2479.27 2732.07 21.54 0.02 20.63 0.02 20.06 0.12  3.73 0.03  0.80 0.06 -2.03  -14.3 1.9  1.2 -7.51
 430 2483.30  923.26 19.76 0.02 19.80 0.02 18.80 0.15  4.00 0.08  1.52 0.10 -1.44  -22.5 2.2 15.1 -7.17
 431 2485.73 3276.10 22.92 0.02 22.09 0.02 21.37 0.19  3.75 0.03  0.22 0.07 -2.51  -18.0 1.1 12.5 -8.09
 432 2494.88 3324.01 22.62 0.03 21.89 0.02 21.30 0.16  3.77 0.03  0.33 0.07 -2.54  -13.2 1.1 13.8 -8.13
 433 2509.60  444.05 23.00 0.02 22.33 0.03 21.73 0.13  3.79 0.03  0.16 0.07 -2.71  -13.0 1.1 33.6 -8.39
 434 2509.91 3406.83 23.49 0.04 22.75 0.02 20.76 0.21  3.77 0.03 -0.02 0.07 -2.06  -95.1 1.0 37.1 -7.75
 435 2520.04 2454.18 23.79 0.07 23.14 0.03 22.12 0.19  3.79 0.04 -0.15 0.07 -2.74  -27.0 0.9 42.5 -8.53
 436 2526.89 4546.09 23.30 0.07 22.72 0.03 20.37 0.20  3.81 0.03  0.04 0.07 -1.89 -132.4 1.0 38.8 -7.66
 437 2527.66  455.75 22.82 0.07 21.88 0.04 19.38 0.19  3.72 0.03  0.30 0.07 -1.48 -173.3 1.3  5.1 -7.05
 438 2531.45 2674.25 24.37 0.04 22.71 0.02 21.55 0.13  3.60 0.02 -0.01 0.06 -2.44  -47.2 0.6  1.1 -7.54
 439 2534.28 2350.16 18.42 0.01 18.43 0.02 16.40 0.02  3.98 0.06  2.03 0.08 -0.32  -90.0 3.0  1.7 -5.90
 440 2534.78 1819.36 21.39 0.04 20.70 0.03 19.47 0.19  3.78 0.03  0.81 0.07 -1.63  -37.7 1.5  6.8 -7.13
 441 2539.63 2721.56 23.30 0.03 21.99 0.02 20.20 0.11  3.65 0.02  0.26 0.06 -1.84  -90.6 0.9  1.2 -7.11
 442 2541.96 3730.97 23.48 0.04 22.57 0.03 20.76 0.21  3.73 0.03  0.02 0.07 -2.07  -82.9 1.0 14.6 -7.68
 443 2551.71 2189.17 24.11 0.03 23.18 0.02 22.32 0.18  3.72 0.03 -0.22 0.06 -2.83  -24.5 0.9 26.1 -8.48
 444 2559.01 1078.58 19.73 0.02 19.75 0.02 18.95 0.17  3.99 0.07  1.52 0.09 -1.55  -16.5 2.2 15.1 -7.27
 445 2587.40 3318.85 22.54 0.02 21.72 0.02 21.00 0.20  3.75 0.03  0.38 0.07 -2.36  -17.8 1.3  9.5 -7.92
 446 2589.21 2725.85 23.84 0.04 22.84 0.02 21.84 0.20  3.70 0.02 -0.09 0.06 -2.61  -31.1 1.0 14.0 -8.22
 447 2589.26 3643.96 22.32 0.05 21.23 0.04 20.08 0.13  3.69 0.02  0.55 0.06 -1.87  -39.7 1.4  1.2 -7.26
 448 2589.28 4253.86 19.98 0.04 19.47 0.02 17.99 0.18  3.83 0.03  1.36 0.07 -1.01  -48.4 2.1  3.2 -6.47
 449 2598.73 1063.38 20.43 0.06 20.21 0.03 17.41 0.19  3.91 0.03  1.16 0.07 -0.69 -205.2 1.7  6.5 -6.32
 450 2600.11 3072.29 23.41 0.03 22.44 0.03 21.40 0.18  3.71 0.02  0.07 0.06 -2.42  -32.6 1.1  9.4 -8.02
 451 2607.27 3546.02 22.46 0.05 21.96 0.02 19.54 0.21  3.84 0.03  0.36 0.07 -1.55 -139.9 1.2 32.4 -7.28
 452 2608.70 2625.97 24.02 0.04 23.21 0.02 22.42 0.21  3.75 0.03 -0.22 0.07 -2.91  -20.1 0.9 40.9 -8.62
 453 2615.66 1563.70 22.78 0.07 21.88 0.03 19.53 0.17  3.73 0.03  0.30 0.07 -1.55 -146.9 1.3  7.2 -7.11
 454 2616.67 1876.25 21.63 0.03 20.81 0.02 19.44 0.18  3.75 0.03  0.74 0.07 -1.59  -47.2 1.7  4.0 -7.11
 455 2618.22 3875.30 18.27 0.02 18.25 0.03 17.68 0.12  3.97 0.05  2.06 0.08 -1.14  -10.5 3.1  1.5 -6.69
 456 2618.37 3516.72 20.92 0.03 20.56 0.02 19.61 0.18  3.87 0.03  0.97 0.07 -1.76  -23.1 1.6  8.6 -7.36
 457 2624.32 2331.36 23.80 0.04 22.75 0.04 22.34 0.12  3.70 0.02 -0.06 0.06 -3.00  -11.1 1.1  9.3 -8.60
 458 2625.79  402.93 24.63 0.04 23.73 0.04 22.10 0.21  3.73 0.03 -0.44 0.07 -2.62  -67.4 0.8 47.4 -8.35
 459 2636.46 2456.06 23.83 0.03 22.68 0.02 21.32 0.17  3.67 0.02 -0.02 0.06 -2.33  -52.9 1.1  4.9 -7.88
 460 2647.52 2591.65 24.97 0.03 23.97 0.03 22.35 0.18  3.71 0.02 -0.54 0.06 -2.72  -69.5 0.7 49.9 -8.42
 461 2667.17 2916.78 25.47 0.07 24.08 0.03 22.14 0.19  3.64 0.02 -0.57 0.06 -2.61 -108.3 0.8 16.7 -8.22
 462 2670.15  927.51 22.55 0.05 21.84 0.04 20.25 0.20  3.78 0.03  0.35 0.07 -1.89  -59.9 1.1 25.0 -7.49
 463 2673.11 2740.17 23.45 0.03 22.20 0.03 21.52 0.18  3.66 0.02  0.17 0.06 -2.54  -21.0 1.0  1.8 -7.92
 464 2674.09 4460.11 18.80 0.05 18.55 0.03 16.58 0.20  3.90 0.03  1.81 0.07 -0.40  -88.3 2.7  1.8 -5.88
 465 2675.47 1175.65 22.99 0.04 21.97 0.02 20.25 0.19  3.70 0.02  0.26 0.06 -1.87  -77.9 1.3  3.0 -7.41
 466 2675.96 2487.14 20.28 0.02 19.85 0.02 19.30 0.13  3.85 0.03  1.23 0.07 -1.79  -10.6 1.9  4.9 -7.30
 467 2680.21 1844.18 19.85 0.02 19.79 0.02 18.95 0.16  3.95 0.04  1.42 0.07 -1.53  -18.9 2.0  4.6 -7.19
 468 2680.49 4215.53 22.80 0.04 21.86 0.03 19.29 0.21  3.72 0.03  0.30 0.07 -1.44 -186.7 1.4  4.6 -7.01
 469 2683.51 2498.98 19.78 0.02 19.66 0.02 18.71 0.18  3.93 0.03  1.42 0.07 -1.42  -20.9 2.1  4.3 -7.03
 470 2688.79 3055.74 21.89 0.02 21.41 0.02 20.82 0.11  3.84 0.03  0.59 0.07 -2.38  -11.5 1.3 26.3 -8.03
 471 2705.61 1633.09 22.61 0.03 21.86 0.02 20.10 0.21  3.77 0.03  0.33 0.07 -1.82  -73.7 1.1 13.3 -7.40
 472 2706.71  646.87 21.35 0.05 20.54 0.02 18.95 0.18  3.75 0.03  0.85 0.07 -1.37  -61.2 1.9  3.2 -6.87
 473 2709.23 4402.59 19.41 0.03 18.79 0.03 18.29 0.12  3.81 0.03  1.60 0.07 -1.39  -10.2 2.7  1.5 -6.80
 474 2709.68 1741.70 22.82 0.04 21.72 0.02 20.70 0.20  3.69 0.02  0.36 0.06 -2.14  -33.3 1.3  2.0 -7.61
 475 2712.83 2219.23 24.07 0.04 23.04 0.03 22.18 0.16  3.70 0.02 -0.17 0.06 -2.77  -25.8 1.0 15.0 -8.39
 476 2714.43 4105.19 22.35 0.07 21.74 0.05 18.96 0.17  3.81 0.04  0.42 0.07 -1.31 -207.1 1.2 27.8 -6.95
 477 2719.33 3428.45 22.47 0.03 21.37 0.02 19.26 0.19  3.69 0.02  0.50 0.06 -1.45 -122.7 1.3  1.3 -6.85
 478 2721.00 4122.31 21.46 0.08 20.51 0.03 18.88 0.16  3.72 0.03  0.84 0.07 -1.34  -68.4 1.9  0.9 -6.77
 479 2722.41 2822.04 22.72 0.02 21.36 0.02 20.64 0.14  3.64 0.01  0.52 0.06 -2.17  -23.2 0.7  0.5 -7.19
 480 2724.03 1856.52 22.22 0.03 21.50 0.02 20.78 0.15  3.77 0.03  0.48 0.07 -2.28  -16.8 1.3 11.1 -7.84
 481 2724.81 1923.00 22.76 0.02 21.48 0.02 20.85 0.14  3.65 0.02  0.46 0.06 -2.29  -19.4 0.9  0.8 -7.47
 482 2726.40 3620.20 22.52 0.05 21.87 0.03 19.93 0.19  3.80 0.04  0.35 0.07 -1.74  -87.3 1.2 29.5 -7.37
 483 2728.26 3909.31 20.27 0.08 20.57 0.03 17.39 0.21  4.39 0.24  2.18 0.25 -0.68 -241.7 3.4 10.2 -7.05
 484 2731.53 2096.84 24.61 0.08 23.17 0.03 21.26 0.18  3.63 0.02 -0.21 0.06 -2.26 -107.2 0.8  3.7 -7.70
 485 2740.64 1680.78 21.61 0.06 20.46 0.03 19.45 0.11  3.67 0.02  0.86 0.06 -1.64  -33.4 1.1  0.4 -6.76
 486 2754.47 2818.88 23.02 0.04 21.61 0.02 20.77 0.18  3.64 0.02  0.42 0.06 -2.19  -28.5 0.7  0.6 -7.22
 487 2754.55 4421.94 19.70 0.03 19.41 0.03 18.09 0.14  3.89 0.03  1.45 0.07 -1.07  -40.8 2.1  3.8 -6.60
 488 2757.98 4451.99 19.43 0.05 19.08 0.03 16.92 0.17  3.87 0.03  1.56 0.07 -0.52 -107.0 2.3  2.6 -6.00
 489 2758.18 3368.52 21.27 0.02 20.27 0.03 19.63 0.06  3.71 0.02  0.94 0.06 -1.81  -17.7 1.9  0.7 -7.19
 490 2759.82 1644.52 21.43 0.04 20.69 0.02 19.29 0.17  3.77 0.03  0.80 0.07 -1.53  -47.9 1.6  5.4 -7.04
 491 2765.44 2845.54 23.73 0.04 22.44 0.02 21.00 0.17  3.65 0.02  0.08 0.06 -2.19  -60.5 1.0  2.2 -7.60
 492 2768.02 2278.62 23.07 0.03 21.77 0.03 21.26 0.16  3.65 0.02  0.35 0.06 -2.49  -15.6 0.9  1.0 -7.72
 493 2774.90 2079.03 22.53 0.02 21.93 0.02 21.14 0.16  3.81 0.03  0.35 0.07 -2.41  -18.2 1.2 31.3 -8.09
 494 2777.72 2035.96 22.73 0.02 21.99 0.01 20.98 0.16  3.77 0.03  0.28 0.07 -2.28  -27.9 1.1 15.6 -7.87
 495 2779.60  285.74 22.23 0.02 21.67 0.04 20.93 0.18  3.82 0.03  0.46 0.07 -2.35  -16.2 1.2 29.8 -8.01
 496 2785.48  870.40 19.88 0.03 19.68 0.02 17.85 0.18  3.91 0.03  1.38 0.07 -0.92  -71.6 2.0  4.4 -6.51
 497 2786.87 3383.25 23.14 0.03 22.36 0.02 20.93 0.19  3.76 0.03  0.13 0.07 -2.18  -49.8 1.0 19.5 -7.79
 498 2787.28 3182.34 21.73 0.03 20.72 0.02 20.32 0.11  3.70 0.02  0.76 0.06 -2.20  -10.6 1.7  1.0 -7.60
 499 2791.78 1921.21 20.44 0.03 20.27 0.02 18.41 0.20  3.92 0.03  1.16 0.07 -1.14  -72.1 1.7  7.0 -6.80
 500 2794.90 3068.27 21.34 0.02 20.44 0.02 18.70 0.06  3.73 0.03  0.88 0.07 -1.26  -75.8 1.9  0.9 -6.71
 501 2797.18 1498.51 23.11 0.05 22.53 0.02 20.05 0.21  3.82 0.03  0.11 0.07 -1.76 -151.0 1.0 37.9 -7.50
 502 2797.41 1470.45 19.22 0.03 19.51 0.02 17.60 0.18  4.36 0.19  2.55 0.19 -0.83  -62.9 4.2  7.5 -7.05
 503 2804.53 2027.34 22.90 0.02 22.27 0.02 21.67 0.14  3.80 0.03  0.20 0.07 -2.70  -12.7 1.1 33.2 -8.39
 504 2806.86 1783.36 22.73 0.08 21.64 0.03 19.62 0.19  3.69 0.03  0.39 0.07 -1.60 -110.6 1.3  1.9 -7.05
 505 2807.71 1735.90 19.50 0.02 19.64 0.02 18.74 0.16  4.13 0.16  1.90 0.17 -1.47  -16.7 2.8 11.5 -7.38
 506 2811.90 2671.02 23.27 0.04 22.06 0.03 21.49 0.17  3.67 0.02  0.23 0.06 -2.56  -17.0 1.1  1.8 -7.97
 507 2812.73 3175.24 23.47 0.05 22.00 0.03 20.95 0.19  3.63 0.02  0.26 0.06 -2.22  -38.7 0.6  0.8 -7.31
 508 2812.87  336.25 21.52 0.03 20.84 0.02 19.90 0.20  3.79 0.03  0.76 0.07 -1.87  -24.4 1.5  7.3 -7.38
 509 2821.07 2305.75 19.97 0.02 19.50 0.02 18.64 0.12  3.84 0.03  1.36 0.07 -1.40  -19.7 2.1  3.3 -6.88
 510 2821.49 3367.22 24.35 0.05 23.53 0.03 21.40 0.14  3.75 0.03 -0.35 0.07 -2.31 -112.8 0.8 45.2 -8.04
 511 2826.44 2941.81 23.45 0.04 22.37 0.02 21.27 0.19  3.69 0.02  0.10 0.06 -2.35  -36.9 1.2  4.1 -7.90
 512 2827.51 1773.90 23.23 0.06 22.40 0.03 20.11 0.17  3.75 0.03  0.10 0.07 -1.79 -133.2 1.0 16.4 -7.40
 513 2828.55 1907.92 23.29 0.07 21.70 0.03 19.94 0.19  3.61 0.02  0.39 0.06 -1.74  -93.6 0.5  0.3 -6.65
 514 2829.37 1313.92 19.99 0.02 20.07 0.02 19.38 0.11  4.04 0.12  1.50 0.13 -1.81  -11.2 2.2 15.1 -7.63
 515 2829.47 2089.45 22.20 0.04 21.16 0.02 20.45 0.18  3.70 0.02  0.58 0.06 -2.12  -20.0 1.5  1.3 -7.55
 516 2831.67  657.96 22.15 0.02 21.59 0.02 20.57 0.19  3.82 0.03  0.50 0.07 -2.12  -26.0 1.3 28.5 -7.77
 517 2832.94 2927.75 22.78 0.05 21.67 0.03 20.83 0.17  3.68 0.02  0.38 0.06 -2.23  -25.6 1.3  1.8 -7.67
 518 2834.34 3892.95 21.04 0.04 19.69 0.04 18.89 0.16  3.65 0.02  1.18 0.06 -1.45  -26.5 1.0  0.0 -6.30
 519 2834.37 2484.41 25.15 0.08 23.96 0.04 21.84 0.19  3.67 0.02 -0.53 0.06 -2.48 -125.3 0.8 29.1 -8.12
 520 2837.32 4474.24 20.57 0.03 19.75 0.06 19.13 0.16  3.75 0.03  1.16 0.07 -1.65  -14.5 2.4  1.1 -7.11
 521 2838.57 2664.43 22.65 0.03 21.03 0.01 20.67 0.14  3.61 0.01  0.66 0.06 -2.29  -13.2 0.6  0.1 -7.11
 522 2842.49 2180.19 18.66 0.01 18.70 0.01 17.38 0.05  4.01 0.08  1.98 0.10 -0.80  -35.6 2.8  2.3 -6.44
 523 2844.78 3969.08 22.34 0.07 21.96 0.04 18.94 0.18  3.87 0.03  0.40 0.07 -1.30 -253.3 1.2 30.7 -7.06
 524 2845.67 1386.16 20.15 0.03 19.84 0.02 19.30 0.11  3.88 0.03  1.27 0.07 -1.79  -10.4 1.8  5.2 -7.34
 525 2845.76 3277.44 22.04 0.02 20.93 0.02 20.21 0.08  3.68 0.02  0.67 0.06 -2.02  -21.1 1.3  0.8 -7.32
 526 2847.33 3578.78 19.43 0.02 19.65 0.02 17.92 0.19  4.25 0.17  2.20 0.18 -0.97  -53.3 3.4  9.8 -7.05
 527 2847.60 2554.50 24.37 0.03 23.30 0.03 22.52 0.20  3.69 0.02 -0.27 0.06 -2.92  -22.9 0.9 18.2 -8.55
 528 2847.84 2559.30 22.13 0.03 20.99 0.03 20.18 0.13  3.68 0.02  0.65 0.06 -1.97  -24.8 1.2  0.7 -7.25
 529 2848.79 2943.40 22.89 0.05 21.99 0.02 20.13 0.20  3.73 0.03  0.26 0.07 -1.82  -86.9 1.2  8.9 -7.38
 530 2854.38 2792.62 22.88 0.02 21.88 0.03 21.21 0.15  3.71 0.02  0.29 0.06 -2.44  -18.5 1.3  3.7 -7.98
 531 2854.70 2804.90 22.31 0.03 21.27 0.02 20.46 0.19  3.70 0.02  0.54 0.06 -2.10  -23.6 1.5  1.5 -7.55
 532 2859.22 1172.84 22.15 0.08 21.48 0.06 19.34 0.19  3.79 0.04  0.50 0.07 -1.49 -109.7 1.3 12.0 -7.06
 533 2859.85 2933.34 22.75 0.04 21.72 0.02 20.00 0.20  3.70 0.02  0.35 0.06 -1.77  -78.2 1.3  2.3 -7.28
 534 2872.37 2091.69 19.91 0.02 19.74 0.02 18.96 0.13  3.92 0.03  1.37 0.07 -1.57  -15.6 2.0  4.5 -7.18
 535 2873.72 1848.44 24.63 0.07 23.33 0.04 21.10 0.15  3.65 0.02 -0.28 0.06 -2.18 -144.0 0.9  7.0 -7.74
 536 2874.25 2751.92 21.09 0.02 20.19 0.02 19.65 0.08  3.73 0.03  0.98 0.07 -1.88  -13.3 2.1  0.9 -7.33
 537 2879.87 2245.35 19.15 0.03 19.35 0.02 17.16 0.19  4.21 0.17  2.23 0.18 -0.63  -91.4 3.4  9.1 -6.63
 538 2880.09  849.90 19.72 0.07 19.89 0.04 16.99 0.21  4.18 0.21  1.92 0.21 -0.52 -193.3 2.8 11.3 -6.52
 539 2880.68 2538.72 22.67 0.06 21.17 0.02 20.27 0.19  3.62 0.02  0.60 0.06 -1.97  -31.7 0.6  0.2 -6.87
 540 2881.18 3867.83 20.54 0.04 20.15 0.02 18.52 0.16  3.86 0.03  1.12 0.07 -1.21  -58.1 1.7  6.2 -6.76
 541 2881.58  591.30 19.39 0.02 19.40 0.02 17.86 0.14  3.98 0.06  1.64 0.09 -0.95  -50.8 2.3  4.0 -6.61
 542 2881.66 2921.37 20.62 0.01 20.29 0.01 19.19 0.13  3.88 0.03  1.09 0.07 -1.55  -29.3 1.7  6.7 -7.15
 543 2883.92 1528.16 19.19 0.03 19.50 0.02 18.34 0.23  4.40 0.19  2.65 0.20 -1.26  -22.3 4.4  7.0 -7.54
 544 2885.49 3288.03 21.78 0.03 21.07 0.02 20.21 0.12  3.78 0.03  0.66 0.07 -2.01  -21.8 1.5  7.0 -7.55
 545 2887.42 2251.03 20.34 0.02 19.55 0.02 18.95 0.18  3.75 0.03  1.25 0.07 -1.59  -14.0 2.6  1.3 -7.03
 546 2890.53 1863.82 21.09 0.03 20.36 0.03 19.44 0.18  3.77 0.03  0.94 0.07 -1.69  -24.0 1.8  4.1 -7.17
 547 2892.25 3626.44 18.70 0.03 18.89 0.02 17.83 0.20  4.21 0.17  2.40 0.18 -1.06  -20.9 3.8  7.8 -7.01
 548 2894.13 1351.32 20.77 0.03 19.90 0.02 19.30 0.15  3.74 0.03  1.09 0.07 -1.72  -14.7 2.3  0.7 -7.15
 549 2896.09 1965.39 23.99 0.06 22.80 0.03 19.60 0.11  3.67 0.02 -0.07 0.06 -1.55 -371.2 1.0  5.1 -7.10
